log_timestamp_utc,event_type,frame_seq_recv,rssi_dbm,notes,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,ack_seq_sent,ack_type_sent_hex,is_decoded_ts_valid,calculated_latency_ms,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-13T06:45:31.042+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,105,0x55,,,,,,,,,,,,,,,
2025-06-13T06:45:34.063+00:00Z,DATA_FRAME_RECV,105,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:45:34.074+00:00Z,DATA_ACK_SENT,,,,,,,105,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:45:34.076+00:00Z,DECODE_SUCCESS_DUMMY,105,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:45:37.405+00:00Z,CTRL_PKT_RECV,106,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:45:37.414+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,106,0x55,,,,,,,,,,,,,,,
2025-06-13T06:45:44.421+00:00Z,CTRL_PKT_RECV,108,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:45:44.435+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,108,0x55,,,,,,,,,,,,,,,
2025-06-13T06:45:47.451+00:00Z,DATA_FRAME_RECV,108,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:45:47.462+00:00Z,DATA_ACK_SENT,,,,,,,108,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:45:47.464+00:00Z,DECODE_SUCCESS_DUMMY,108,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:45:50.792+00:00Z,CTRL_PKT_RECV,109,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:45:50.802+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,109,0x55,,,,,,,,,,,,,,,
2025-06-13T06:45:57.809+00:00Z,CTRL_PKT_RECV,111,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:45:57.818+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,111,0x55,,,,,,,,,,,,,,,
2025-06-13T06:46:00.838+00:00Z,DATA_FRAME_RECV,111,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:46:00.850+00:00Z,DATA_ACK_SENT,,,,,,,111,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:46:00.852+00:00Z,DECODE_SUCCESS_DUMMY,111,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:04.180+00:00Z,CTRL_PKT_RECV,112,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:04.190+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,112,0x55,,,,,,,,,,,,,,,
2025-06-13T06:46:11.201+00:00Z,CTRL_PKT_RECV,114,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:11.214+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,114,0x55,,,,,,,,,,,,,,,
2025-06-13T06:46:14.231+00:00Z,DATA_FRAME_RECV,114,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:46:14.242+00:00Z,DATA_ACK_SENT,,,,,,,114,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:46:14.244+00:00Z,DECODE_SUCCESS_DUMMY,114,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:17.573+00:00Z,CTRL_PKT_RECV,115,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:17.582+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,115,0x55,,,,,,,,,,,,,,,
2025-06-13T06:46:24.593+00:00Z,CTRL_PKT_RECV,117,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:24.602+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,117,0x55,,,,,,,,,,,,,,,
2025-06-13T06:46:27.622+00:00Z,DATA_FRAME_RECV,117,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:46:27.634+00:00Z,DATA_ACK_SENT,,,,,,,117,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:46:27.635+00:00Z,DECODE_SUCCESS_DUMMY,117,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:30.964+00:00Z,CTRL_PKT_RECV,118,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:30.974+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,118,0x55,,,,,,,,,,,,,,,
2025-06-13T06:46:37.980+00:00Z,CTRL_PKT_RECV,120,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:37.990+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,120,0x55,,,,,,,,,,,,,,,
2025-06-13T06:46:41.010+00:00Z,DATA_FRAME_RECV,120,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:46:41.022+00:00Z,DATA_ACK_SENT,,,,,,,120,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:46:41.023+00:00Z,DECODE_SUCCESS_DUMMY,120,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:44.352+00:00Z,CTRL_PKT_RECV,121,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:44.362+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,121,0x55,,,,,,,,,,,,,,,
2025-06-13T06:46:51.368+00:00Z,CTRL_PKT_RECV,123,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:51.378+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,123,0x55,,,,,,,,,,,,,,,
2025-06-13T06:46:54.398+00:00Z,DATA_FRAME_RECV,123,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:46:54.410+00:00Z,DATA_ACK_SENT,,,,,,,123,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:46:54.411+00:00Z,DECODE_SUCCESS_DUMMY,123,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:57.739+00:00Z,CTRL_PKT_RECV,124,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:46:57.750+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,124,0x55,,,,,,,,,,,,,,,
2025-06-13T06:47:04.761+00:00Z,CTRL_PKT_RECV,126,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:04.770+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,126,0x55,,,,,,,,,,,,,,,
2025-06-13T06:47:07.790+00:00Z,DATA_FRAME_RECV,126,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:47:07.802+00:00Z,DATA_ACK_SENT,,,,,,,126,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:47:07.804+00:00Z,DECODE_SUCCESS_DUMMY,126,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:11.131+00:00Z,CTRL_PKT_RECV,127,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:11.142+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,127,0x55,,,,,,,,,,,,,,,
2025-06-13T06:47:18.153+00:00Z,CTRL_PKT_RECV,129,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:18.162+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,129,0x55,,,,,,,,,,,,,,,
2025-06-13T06:47:21.182+00:00Z,DATA_FRAME_RECV,129,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:47:21.194+00:00Z,DATA_ACK_SENT,,,,,,,129,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:47:21.195+00:00Z,DECODE_SUCCESS_DUMMY,129,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:24.524+00:00Z,CTRL_PKT_RECV,130,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:24.534+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,130,0x55,,,,,,,,,,,,,,,
2025-06-13T06:47:31.540+00:00Z,CTRL_PKT_RECV,132,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:31.550+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,132,0x55,,,,,,,,,,,,,,,
2025-06-13T06:47:34.570+00:00Z,DATA_FRAME_RECV,132,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:47:34.582+00:00Z,DATA_ACK_SENT,,,,,,,132,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:47:34.583+00:00Z,DECODE_SUCCESS_DUMMY,132,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:37.911+00:00Z,CTRL_PKT_RECV,133,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:37.922+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,133,0x55,,,,,,,,,,,,,,,
2025-06-13T06:47:44.928+00:00Z,CTRL_PKT_RECV,135,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:44.938+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,135,0x55,,,,,,,,,,,,,,,
2025-06-13T06:47:47.958+00:00Z,DATA_FRAME_RECV,135,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:47:47.970+00:00Z,DATA_ACK_SENT,,,,,,,135,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:47:47.972+00:00Z,DECODE_SUCCESS_DUMMY,135,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:51.300+00:00Z,CTRL_PKT_RECV,136,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:51.310+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,136,0x55,,,,,,,,,,,,,,,
2025-06-13T06:47:58.321+00:00Z,CTRL_PKT_RECV,138,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:47:58.330+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,138,0x55,,,,,,,,,,,,,,,
2025-06-13T06:48:01.350+00:00Z,DATA_FRAME_RECV,138,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:48:01.362+00:00Z,DATA_ACK_SENT,,,,,,,138,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:48:01.364+00:00Z,DECODE_SUCCESS_DUMMY,138,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:04.691+00:00Z,CTRL_PKT_RECV,139,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:04.702+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,139,0x55,,,,,,,,,,,,,,,
2025-06-13T06:48:11.709+00:00Z,CTRL_PKT_RECV,141,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:11.718+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,141,0x55,,,,,,,,,,,,,,,
2025-06-13T06:48:14.738+00:00Z,DATA_FRAME_RECV,141,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:48:14.751+00:00Z,DATA_ACK_SENT,,,,,,,141,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:48:14.752+00:00Z,DECODE_SUCCESS_DUMMY,141,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:18.080+00:00Z,CTRL_PKT_RECV,142,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:18.090+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,142,0x55,,,,,,,,,,,,,,,
2025-06-13T06:48:25.098+00:00Z,CTRL_PKT_RECV,144,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:25.110+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,144,0x55,,,,,,,,,,,,,,,
2025-06-13T06:48:28.127+00:00Z,DATA_FRAME_RECV,144,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:48:28.138+00:00Z,DATA_ACK_SENT,,,,,,,144,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:48:28.140+00:00Z,DECODE_SUCCESS_DUMMY,144,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:31.468+00:00Z,CTRL_PKT_RECV,145,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:31.478+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,145,0x55,,,,,,,,,,,,,,,
2025-06-13T06:48:38.489+00:00Z,CTRL_PKT_RECV,147,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:38.498+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,147,0x55,,,,,,,,,,,,,,,
2025-06-13T06:48:41.518+00:00Z,DATA_FRAME_RECV,147,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:48:41.531+00:00Z,DATA_ACK_SENT,,,,,,,147,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:48:41.532+00:00Z,DECODE_SUCCESS_DUMMY,147,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:44.860+00:00Z,CTRL_PKT_RECV,148,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:44.870+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,148,0x55,,,,,,,,,,,,,,,
2025-06-13T06:48:51.881+00:00Z,CTRL_PKT_RECV,150,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:51.890+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,150,0x55,,,,,,,,,,,,,,,
2025-06-13T06:48:54.911+00:00Z,DATA_FRAME_RECV,150,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:48:54.922+00:00Z,DATA_ACK_SENT,,,,,,,150,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:48:54.923+00:00Z,DECODE_SUCCESS_DUMMY,150,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:58.252+00:00Z,CTRL_PKT_RECV,151,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:48:58.262+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,151,0x55,,,,,,,,,,,,,,,
2025-06-13T06:49:05.273+00:00Z,CTRL_PKT_RECV,153,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:05.282+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,153,0x55,,,,,,,,,,,,,,,
2025-06-13T06:49:08.302+00:00Z,DATA_FRAME_RECV,153,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:49:08.314+00:00Z,DATA_ACK_SENT,,,,,,,153,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:49:08.315+00:00Z,DECODE_SUCCESS_DUMMY,153,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:11.644+00:00Z,CTRL_PKT_RECV,154,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:11.654+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,154,0x55,,,,,,,,,,,,,,,
2025-06-13T06:49:18.665+00:00Z,CTRL_PKT_RECV,156,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:18.674+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,156,0x55,,,,,,,,,,,,,,,
2025-06-13T06:49:21.694+00:00Z,DATA_FRAME_RECV,156,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:49:21.706+00:00Z,DATA_ACK_SENT,,,,,,,156,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:49:21.708+00:00Z,DECODE_SUCCESS_DUMMY,156,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:25.036+00:00Z,CTRL_PKT_RECV,157,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:25.046+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,157,0x55,,,,,,,,,,,,,,,
2025-06-13T06:49:32.057+00:00Z,CTRL_PKT_RECV,159,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:32.066+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,159,0x55,,,,,,,,,,,,,,,
2025-06-13T06:49:35.086+00:00Z,DATA_FRAME_RECV,159,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:49:35.098+00:00Z,DATA_ACK_SENT,,,,,,,159,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:49:35.100+00:00Z,DECODE_SUCCESS_DUMMY,159,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:38.428+00:00Z,CTRL_PKT_RECV,160,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:38.438+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,160,0x55,,,,,,,,,,,,,,,
2025-06-13T06:49:45.450+00:00Z,CTRL_PKT_RECV,162,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:45.462+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,162,0x55,,,,,,,,,,,,,,,
2025-06-13T06:49:48.480+00:00Z,DATA_FRAME_RECV,162,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:49:48.490+00:00Z,DATA_ACK_SENT,,,,,,,162,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:49:48.492+00:00Z,DECODE_SUCCESS_DUMMY,162,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:51.822+00:00Z,CTRL_PKT_RECV,163,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:51.834+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,163,0x55,,,,,,,,,,,,,,,
2025-06-13T06:49:58.844+00:00Z,CTRL_PKT_RECV,165,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:49:58.854+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,165,0x55,,,,,,,,,,,,,,,
2025-06-13T06:50:01.873+00:00Z,DATA_FRAME_RECV,165,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:50:01.882+00:00Z,DATA_ACK_SENT,,,,,,,165,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:50:01.883+00:00Z,DECODE_SUCCESS_DUMMY,165,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:05.215+00:00Z,CTRL_PKT_RECV,166,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:05.226+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,166,0x55,,,,,,,,,,,,,,,
2025-06-13T06:50:12.238+00:00Z,CTRL_PKT_RECV,168,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:12.250+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,168,0x55,,,,,,,,,,,,,,,
2025-06-13T06:50:15.267+00:00Z,DATA_FRAME_RECV,168,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:50:15.278+00:00Z,DATA_ACK_SENT,,,,,,,168,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:50:15.280+00:00Z,DECODE_SUCCESS_DUMMY,168,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:18.609+00:00Z,CTRL_PKT_RECV,169,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:18.618+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,169,0x55,,,,,,,,,,,,,,,
2025-06-13T06:50:25.629+00:00Z,CTRL_PKT_RECV,171,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:25.638+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,171,0x55,,,,,,,,,,,,,,,
2025-06-13T06:50:28.658+00:00Z,DATA_FRAME_RECV,171,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:50:28.670+00:00Z,DATA_ACK_SENT,,,,,,,171,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:50:28.672+00:00Z,DECODE_SUCCESS_DUMMY,171,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:32.000+00:00Z,CTRL_PKT_RECV,172,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:32.010+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,172,0x55,,,,,,,,,,,,,,,
2025-06-13T06:50:39.017+00:00Z,CTRL_PKT_RECV,174,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:39.030+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,174,0x55,,,,,,,,,,,,,,,
2025-06-13T06:50:42.047+00:00Z,DATA_FRAME_RECV,174,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:50:42.058+00:00Z,DATA_ACK_SENT,,,,,,,174,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:50:42.060+00:00Z,DECODE_SUCCESS_DUMMY,174,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:45.389+00:00Z,CTRL_PKT_RECV,175,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:45.398+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,175,0x55,,,,,,,,,,,,,,,
2025-06-13T06:50:52.405+00:00Z,CTRL_PKT_RECV,177,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:52.414+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,177,0x55,,,,,,,,,,,,,,,
2025-06-13T06:50:55.434+00:00Z,DATA_FRAME_RECV,177,-20,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:50:55.446+00:00Z,DATA_ACK_SENT,,,,,,,177,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:50:55.448+00:00Z,DECODE_SUCCESS_DUMMY,177,-20,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:58.776+00:00Z,CTRL_PKT_RECV,178,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:50:58.786+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,178,0x55,,,,,,,,,,,,,,,
2025-06-13T06:51:05.798+00:00Z,CTRL_PKT_RECV,180,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:05.810+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,180,0x55,,,,,,,,,,,,,,,
2025-06-13T06:51:08.827+00:00Z,DATA_FRAME_RECV,180,-20,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:51:08.839+00:00Z,DATA_ACK_SENT,,,,,,,180,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:51:08.840+00:00Z,DECODE_SUCCESS_DUMMY,180,-20,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:12.168+00:00Z,CTRL_PKT_RECV,181,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:12.178+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,181,0x55,,,,,,,,,,,,,,,
2025-06-13T06:51:19.190+00:00Z,CTRL_PKT_RECV,183,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:19.202+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,183,0x55,,,,,,,,,,,,,,,
2025-06-13T06:51:22.220+00:00Z,DATA_FRAME_RECV,183,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:51:22.230+00:00Z,DATA_ACK_SENT,,,,,,,183,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:51:22.232+00:00Z,DECODE_SUCCESS_DUMMY,183,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:25.561+00:00Z,CTRL_PKT_RECV,184,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:25.570+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,184,0x55,,,,,,,,,,,,,,,
2025-06-13T06:51:32.582+00:00Z,CTRL_PKT_RECV,186,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:32.594+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,186,0x55,,,,,,,,,,,,,,,
2025-06-13T06:51:35.611+00:00Z,DATA_FRAME_RECV,186,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:51:35.622+00:00Z,DATA_ACK_SENT,,,,,,,186,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:51:35.625+00:00Z,DECODE_SUCCESS_DUMMY,186,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:38.954+00:00Z,CTRL_PKT_RECV,187,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:38.966+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,187,0x55,,,,,,,,,,,,,,,
2025-06-13T06:51:45.978+00:00Z,CTRL_PKT_RECV,189,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:45.990+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,189,0x55,,,,,,,,,,,,,,,
2025-06-13T06:51:49.008+00:00Z,DATA_FRAME_RECV,189,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:51:49.018+00:00Z,DATA_ACK_SENT,,,,,,,189,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:51:49.020+00:00Z,DECODE_SUCCESS_DUMMY,189,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:52.350+00:00Z,CTRL_PKT_RECV,190,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:52.362+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,190,0x55,,,,,,,,,,,,,,,
2025-06-13T06:51:59.374+00:00Z,CTRL_PKT_RECV,192,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:51:59.386+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,192,0x55,,,,,,,,,,,,,,,
2025-06-13T06:52:02.404+00:00Z,DATA_FRAME_RECV,192,-22,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:52:02.414+00:00Z,DATA_ACK_SENT,,,,,,,192,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:52:02.416+00:00Z,DECODE_SUCCESS_DUMMY,192,-22,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:52:05.745+00:00Z,CTRL_PKT_RECV,193,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:52:05.758+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,193,0x55,,,,,,,,,,,,,,,
2025-06-13T06:52:12.762+00:00Z,CTRL_PKT_RECV,195,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:52:12.774+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,195,0x55,,,,,,,,,,,,,,,
2025-06-13T06:52:15.791+00:00Z,DATA_FRAME_RECV,195,-22,,,17,16,,,,,,,,,,,,,,,,,
