log_timestamp_utc,event_type,frame_seq_recv,rssi_dbm,notes,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,ack_seq_sent,ack_type_sent_hex,is_decoded_ts_valid,calculated_latency_ms,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-13T06:32:54.904+00:00Z,DATA_FRAME_RECV,153,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:32:54.914+00:00Z,DATA_ACK_SENT,,,,,,,153,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:32:54.917+00:00Z,DECODE_SUCCESS,153,-22,,,,,,,True,4915,1749796370.0,-0.617,0.273,0.775,0.0,0.0,0.0,19.5,36.8,-20.9,33.1537971496582,129.68101501464844,89.4
2025-06-13T06:32:58.247+00:00Z,CTRL_PKT_RECV,154,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:32:58.258+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,154,0x55,,,,,,,,,,,,,,,
2025-06-13T06:33:05.270+00:00Z,CTRL_PKT_RECV,156,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:33:05.282+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,156,0x55,,,,,,,,,,,,,,,
2025-06-13T06:33:08.825+00:00Z,DATA_FRAME_RECV,156,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:33:08.834+00:00Z,DATA_ACK_SENT,,,,,,,156,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:33:08.838+00:00Z,DECODE_SUCCESS,156,-22,,,,,,,True,4835,1749796384.0,-0.615,0.277,0.777,0.0,0.0,0.0,19.5,36.8,-20.9,34.506893157958984,126.3161849975586,0.0
2025-06-13T06:33:12.167+00:00Z,CTRL_PKT_RECV,157,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:33:12.178+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,157,0x55,,,,,,,,,,,,,,,
2025-06-13T06:33:19.190+00:00Z,CTRL_PKT_RECV,159,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:33:19.202+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,159,0x55,,,,,,,,,,,,,,,
2025-06-13T06:33:22.745+00:00Z,DATA_FRAME_RECV,159,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:33:22.754+00:00Z,DATA_ACK_SENT,,,,,,,159,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:33:22.758+00:00Z,DECODE_SUCCESS,159,-22,,,,,,,True,4755,1749796398.0,-0.616,0.275,0.775,0.0,0.0,0.0,19.5,36.8,-20.9,34.280067443847656,127.57255554199219,0.0
2025-06-13T06:33:26.087+00:00Z,CTRL_PKT_RECV,160,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:33:26.098+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,160,0x55,,,,,,,,,,,,,,,
2025-06-13T06:33:33.110+00:00Z,CTRL_PKT_RECV,162,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:33:33.122+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,162,0x55,,,,,,,,,,,,,,,
2025-06-13T06:33:36.665+00:00Z,DATA_FRAME_RECV,162,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:33:36.674+00:00Z,DATA_ACK_SENT,,,,,,,162,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:33:36.679+00:00Z,DECODE_SUCCESS,162,-22,,,,,,,True,5675,1749796411.0,-0.616,0.276,0.777,0.0,0.0,0.0,19.5,36.8,-20.9,35.232208251953125,127.2658462524414,49.2
2025-06-13T06:33:40.006+00:00Z,CTRL_PKT_RECV,163,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:33:40.018+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,163,0x55,,,,,,,,,,,,,,,
2025-06-13T06:33:47.030+00:00Z,CTRL_PKT_RECV,165,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:33:47.042+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,165,0x55,,,,,,,,,,,,,,,
2025-06-13T06:33:50.585+00:00Z,DATA_FRAME_RECV,165,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:33:50.594+00:00Z,DATA_ACK_SENT,,,,,,,165,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:33:50.598+00:00Z,DECODE_SUCCESS,165,-22,,,,,,,True,5595,1749796425.0,-0.616,0.276,0.775,0.0,0.0,0.0,19.5,36.8,-20.9,36.13645553588867,126.92861938476562,0.0
2025-06-13T06:33:53.927+00:00Z,CTRL_PKT_RECV,166,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:33:53.938+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,166,0x55,,,,,,,,,,,,,,,
2025-06-13T06:34:00.950+00:00Z,CTRL_PKT_RECV,168,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:34:00.962+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,168,0x55,,,,,,,,,,,,,,,
2025-06-13T06:34:04.505+00:00Z,DATA_FRAME_RECV,168,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:34:04.514+00:00Z,DATA_ACK_SENT,,,,,,,168,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:34:04.518+00:00Z,DECODE_SUCCESS,168,-22,,,,,,,True,5515,1749796439.0,-0.615,0.274,0.774,0.0,0.0,0.0,19.5,36.8,-20.9,34.559059143066406,129.92726135253906,0.0
2025-06-13T06:34:07.847+00:00Z,CTRL_PKT_RECV,169,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:34:07.858+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,169,0x55,,,,,,,,,,,,,,,
2025-06-13T06:34:14.866+00:00Z,CTRL_PKT_RECV,171,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:34:14.878+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,171,0x55,,,,,,,,,,,,,,,
2025-06-13T06:34:18.421+00:00Z,DATA_FRAME_RECV,171,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:34:18.430+00:00Z,DATA_ACK_SENT,,,,,,,171,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:34:18.433+00:00Z,DECODE_SUCCESS,171,-22,,,,,,,True,5431,1749796453.0,-0.615,0.274,0.776,0.0,0.0,0.0,19.5,36.8,-20.9,33.222713470458984,126.34876251220703,0.0
