log_timestamp_utc,event_type,frame_seq_recv,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,rssi_dbm,ack_seq_sent,ack_type_sent_hex,decoded_ts_valid_check,decoded_latency_ms_calc,notes,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-09T08:32:09.441+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,71,0x55,,,,,,,,,,,,,,,,
2025-06-09T08:32:10.075+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x28,40,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:10.106+00:00Z,DATA_FRAME_RECV_FULL,71,DATA_FRAME,40,39,-90,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:10.117+00:00Z,DATA_ACK_SENT_OK,,,,,,71,0xaa,,,,,,,,,,,,,,,,
2025-06-09T08:32:10.118+00:00Z,DECODE_SUCCESS,71,,,39,,,,True,1118,Msg #71,1749457929.0,0.263,-0.395,0.923,0.0,0.0,0.1,-23.1,-14.7,-132.7,35.147674560546875,129.02694702148438,129.7
2025-06-09T08:32:11.579+00:00Z,CTRL_PKT_RECV,72,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:11.589+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,72,0x55,,,,,,,,,,,,,,,,
2025-06-09T08:32:12.224+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x28,40,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:12.255+00:00Z,DATA_FRAME_RECV_FULL,72,DATA_FRAME,40,39,-89,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:12.265+00:00Z,DATA_ACK_SENT_OK,,,,,,72,0xaa,,,,,,,,,,,,,,,,
