log_timestamp_utc,event_type,frame_seq_recv,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,rssi_dbm,ack_seq_sent,ack_type_sent_hex,decoded_ts_valid_check,decoded_latency_ms_calc,notes,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-10T06:13:20.849+00:00Z,SERIAL_PORT_OPEN_SUCCESS,,,,,,,,,,"Port: /dev/ttyAMA0, Baud: 9600",,,,,,,,,,,,,
2025-06-10T06:13:27.857+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10T06:13:34.866+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10T06:13:41.868+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10T06:13:43.469+00:00Z,HANDSHAKE_SYN_RECV,,SYN,,,,,,,,,,,,,,,,,,,,,
2025-06-10T06:13:43.481+00:00Z,HANDSHAKE_ACK_SENT_OK,,,,,,0,0x00,,,,,,,,,,,,,,,,
2025-06-10T06:13:43.482+00:00Z,HANDSHAKE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10T06:15:50.858+00:00Z,CTRL_PKT_RECV,0,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-10T06:15:50.869+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,0,0x55,,,,,,,,,,,,,,,,
2025-06-10T06:15:54.563+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x29,41,,,,,,,,,,,,,,,,,,,,
2025-06-10T06:15:54.595+00:00Z,DATA_FRAME_RECV_FULL,0,DATA_FRAME,41,40,-104,,,,,,,,,,,,,,,,,,
2025-06-10T06:15:54.605+00:00Z,DATA_ACK_SENT_OK,,,,,,0,0xaa,,,,,,,,,,,,,,,,
2025-06-10T06:15:54.606+00:00Z,DECODE_SUCCESS,0,,,40,,,,True,5605,Msg #1,1749536149.0,0.369,-0.555,0.782,0.0,-0.1,-0.1,-35.3,-21.1,0.0,35.14735794067383,129.0233917236328,112.8
2025-06-10T06:15:57.961+00:00Z,CTRL_PKT_RECV,1,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-10T06:15:57.973+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,1,0x55,,,,,,,,,,,,,,,,
2025-06-10T06:16:01.666+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x29,41,,,,,,,,,,,,,,,,,,,,
2025-06-10T06:16:01.698+00:00Z,DATA_FRAME_RECV_FULL,1,DATA_FRAME,41,40,-103,,,,,,,,,,,,,,,,,,
2025-06-10T06:16:01.709+00:00Z,DATA_ACK_SENT_OK,,,,,,1,0xaa,,,,,,,,,,,,,,,,
2025-06-10T06:16:01.710+00:00Z,DECODE_SUCCESS,1,,,40,,,,True,5710,Msg #2,1749536156.0,0.369,-0.555,0.781,0.0,0.0,-0.1,-35.3,-21.1,0.0,35.14737319946289,129.02333068847656,111.8
