decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
0.76,-0.263,0.638,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14753341674804688,0.0267333984375,138.4
0.76,-0.262,0.639,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14753341674804688,0.0267333984375,138.1
0.76,-0.262,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.1475372314453125,0.0267333984375,137.7
0.762,-0.264,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14754104614257812,0.0267333984375,137.3
0.761,-0.264,0.634,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14754104614257812,0.0267333984375,137.1
0.761,-0.265,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14754867553710938,0.0267333984375,137.0
0.76,-0.265,0.634,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14754867553710938,0.0267333984375,137.0
0.761,-0.264,0.636,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14754867553710938,0.0267486572265625,136.8
0.761,-0.264,0.634,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14754486083984375,0.0267486572265625,136.8
0.759,-0.266,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14755630493164062,0.0267486572265625,136.6
0.758,-0.264,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14756393432617188,0.0267486572265625,136.6
0.761,-0.264,0.634,0.0,0.0,0.0,-22.5,-47.8,0.0,0.1475677490234375,0.0267486572265625,136.7
0.76,-0.263,0.634,0.0,0.0,0.0,-22.5,-47.8,0.0,0.1475677490234375,0.0267486572265625,136.8
0.758,-0.263,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14757156372070312,0.0267333984375,136.8
0.758,-0.263,0.636,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14757156372070312,0.0267486572265625,136.8
0.761,-0.264,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.1475677490234375,0.0267486572265625,136.9
0.76,-0.267,0.636,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14756393432617188,0.0267486572265625,136.7
0.76,-0.264,0.636,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14756393432617188,0.026763916015625,136.5
0.759,-0.263,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14756393432617188,0.026763916015625,136.5
0.759,-0.263,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14756393432617188,0.026763916015625,136.0
0.758,-0.264,0.636,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14757537841796875,0.026763916015625,135.9
0.759,-0.265,0.637,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14758682250976562,0.026763916015625,135.5
